category;income;savings;debt;benefits;investments;kids;fiscal_partner;consumption_reduced;consumption_standard
2.0;22380.18;19440.78;31151.9;13162.1;13903.65;4.0;0.0;12161.66;5109.26
2.0;29698.91;34308.03;18487.2;20036.37;30503.32;3.0;1.0;12127.74;13067.52
2.0;29508.67;30277.68;21732.22;15427.58;26043.27;3.0;0.0;13557.51;14459.25
2.0;25207.66;20222.97;18287.81;9938.36;21734.28;0.0;1.0;8781.15;8822.68
2.0;21412.39;27631.69;11088.54;21809.26;32827.69;3.0;1.0;10138.97;9421.45
3.0;39720.21;54568.86;18170.88;0.0;140050.79;1.0;1.0;10574.82;11518.86
3.0;41088.86;46177.09;7028.82;0.0;69046.68;3.0;0.0;13574.22;14791.99
2.0;23528.27;12844.21;28424.34;22291.13;29179.86;5.0;0.0;13234.89;5146.6900000000005
3.0;37837.95;47136.82;7788.9;0.0;74736.2;0.0;0.0;10783.8;11351.38
2.0;20567.88;8579.12;27827.4;18523.79;28348.73;3.0;0.0;10964.69;4801.595
3.0;38448.43;48012.23;8662.61;0.0;81140.95;2.0;0.0;12382.78;13072.47
3.0;44810.61;52508.03;4914.43;0.0;91108.99;1.0;0.0;12377.27;14339.4
2.0;22464.36;33868.09;24409.69;8000.3;17091.88;0.0;1.0;8369.65;7862.53
2.0;24546.48;1553.06;35727.59;11430.59;2833.88;3.0;1.0;10891.16;10800.45
2.0;17611.9;29046.15;30113.9;12318.67;28682.21;0.0;0.0;8522.38;7044.76
1.0;9258.48;4528.27;23496.59;17340.67;9017.9;1.0;1.0;7222.04;1018.2199999999998
2.0;19422.88;25557.43;28592.11;22786.41;15350.57;4.0;0.0;11215.32;4103.780000000001
2.0;25343.14;22744.3;36888.82;21597.08;15745.09;1.0;1.0;9561.77;9630.39
2.0;29160.42;32802.86;42865.01;8334.6;22804.44;3.0;1.0;11998.5;12830.58
2.0;18556.32;26552.08;25791.87;12490.35;26054.21;1.0;0.0;9267.95;7979.22
2.0;21744.97;23318.55;42342.83;15199.61;21202.33;0.0;0.0;9348.99;8697.99
2.0;29503.91;30407.6;25983.48;15787.84;24889.86;2.0;0.0;12671.02;13571.8
2.0;17778.66;33723.59;17222.82;12371.96;14613.56;3.0;1.0;9266.88;7822.61
2.0;30368.58;44841.39;23723.11;9787.74;20851.6;2.0;0.0;12895.83;13969.55
2.0;25396.25;21169.12;28441.22;15795.04;36389.52;5.0;0.0;13888.69;5753.78
2.0;25690.76;18487.47;30979.78;11024.47;18661.72;3.0;0.0;12450.32;12588.47
3.0;41336.97;58267.99;11436.93;0.0;90091.97;0.0;1.0;9893.59;11160.98
3.0;41487.37;48989.19;3094.75;0.0;98300.1;0.0;1.0;9904.12;11201.59
2.0;23839.88;38267.54;26735.52;16502.64;29413.85;2.0;1.0;10006.37;9774.35
2.0;22636.86;17580.19;23886.62;7858.49;17111.27;0.0;1.0;8395.53;7922.9
2.0;22405.83;37171.83;21922.45;17217.1;23372.97;1.0;0.0;10153.34;9634.51
1.0;4700.31;2212.77;16858.34;34277.51;21165.53;5.0;1.0;2350.16;1175.0750000000003
2.0;26997.42;21146.63;25644.93;18271.07;31549.68;4.0;1.0;12289.3;12688.79
3.0;39613.98;37588.45;13035.66;0.0;74706.06;2.0;1.0;11357.54;12280.33
3.0;39260.37;31271.42;10879.21;0.0;68137.24;4.0;1.0;12889.06;13741.13
3.0;41323.68;51500.53;2025.93;0.0;101791.28;5.0;0.0;15264.74;16529.47
3.0;41074.77;47584.9;2654.54;0.0;90011.2;2.0;1.0;11518.22;12733.18
2.0;23892.75;27566.3;867.12;17596.79;9082.67;1.0;1.0;9300.7;9079.25
2.0;23906.28;37005.6;23471.26;14915.24;21680.58;0.0;0.0;9781.26;9562.51
2.0;24124.76;28213.46;41680.24;18873.03;25454.6;3.0;0.0;11996.18;11821.13
2.0;22062.84;14382.75;20552.97;10378.52;20478.41;5.0;1.0;11618.85;5221.995
3.0;40935.01;46196.92;12376.66;0.0;90358.81;4.0;1.0;13140.25;14327.25
3.0;40890.43;32790.81;12082.31;0.0;77735.59;3.0;1.0;12315.76;13493.84
1.0;7299.46;7459.13;14802.46;17845.22;17033.79;1.0;0.0;3649.73;3138.77
3.0;39730.85;45279.22;4920.01;0.0;79281.34;5.0;1.0;13754.24;14700.41
4.0;427533.99;460880.03;0.0;0.0;282315.3;3.0;1.0;24963.69;68405.44
3.0;39775.39;67238.24;11967.57;0.0;146013.32;3.0;0.0;13364.06;14319.14
2.0;25121.12;19732.41;29380.74;14632.85;30643.82;3.0;0.0;12285.12;12309.35
1.0;5667.9;9363.29;15431.97;33727.57;11560.56;2.0;1.0;2833.95;2323.84
2.0;29001.9;26344.29;30192.69;5880.08;27818.03;1.0;0.0;11670.44;12470.82
2.0;25483.3;16414.0;22112.26;15004.92;22533.32;3.0;0.0;12390.16;12486.82
2.0;25247.68;21496.94;27437.03;13796.87;17368.11;3.0;0.0;12321.83;12371.36
1.0;6994.34;4773.14;15183.6;33664.02;9815.72;3.0;0.0;3497.17;3427.23
1.0;5912.21;4133.14;9613.45;15904.47;14595.96;2.0;1.0;2956.1;2424.01
3.0;42524.69;63950.34;6825.74;0.0;49911.57;1.0;0.0;12102.96;13607.9
2.0;27403.4;19893.49;20045.3;12916.03;32956.56;1.0;0.0;11302.78;11783.46
3.0;40726.03;40426.73;5817.54;0.0;58421.71;2.0;0.0;12701.64;13846.85
2.0;25091.52;40933.1;36815.62;23989.18;29099.53;4.0;0.0;13029.29;6031.115
3.0;39353.67;34675.22;8460.93;0.0;86606.33;0.0;0.0;10935.37;11806.1
2.0;26518.97;17467.32;30672.03;16315.17;17954.71;4.0;1.0;12160.12;12463.92
2.0;30905.8;29291.77;26266.5;11329.53;15782.53;3.0;0.0;13962.68;15143.84
3.0;41654.6;45040.95;6263.42;0.0;75251.46;0.0;1.0;9915.82;11246.74
2.0;27123.94;31393.33;29116.08;11122.87;29019.65;5.0;1.0;13137.18;13561.97
2.0;23550.79;33714.42;17797.69;9529.46;13811.46;3.0;1.0;10652.19;10362.35
2.0;29466.08;28212.46;28568.83;15560.26;22817.08;3.0;1.0;12071.86;12965.08
1.0;4802.09;4156.34;17174.74;41469.92;15249.09;0.0;1.0;2401.04;1680.73
2.0;24197.85;26006.81;33290.98;15349.18;18238.24;3.0;1.0;10807.48;10647.05
4.0;593921.36;739383.72;0.0;0.0;382131.98;3.0;0.0;48604.89;106905.84
2.0;25135.04;15051.88;23007.53;8553.22;19725.91;3.0;1.0;11032.41;11059.42
2.0;24377.12;28688.07;38725.6;18798.69;8347.78;5.0;1.0;12313.14;6031.99
1.0;6858.26;4213.82;13678.06;25760.39;18588.66;4.0;1.0;3429.13;3223.38
2.0;20436.98;28272.94;23645.85;13734.87;21583.66;5.0;1.0;11131.09;4652.945
2.0;26184.81;15527.37;9903.94;20588.41;10519.93;5.0;0.0;14164.68;6010.0650000000005
2.0;27005.75;27677.1;36204.74;16375.04;29043.82;3.0;1.0;11481.38;11882.53
3.0;39790.1;54844.67;10507.2;0.0;84939.42;1.0;0.0;11774.81;12732.83
3.0;39788.42;85427.41;13771.43;0.0;82866.35;1.0;1.0;10580.96;11538.64
2.0;27743.65;18580.43;23288.13;15555.92;10691.85;3.0;0.0;13045.66;13594.39
3.0;39528.49;52765.21;13947.22;0.0;81762.2;4.0;1.0;12929.27;13834.97
1.0;8108.39;7419.37;7191.94;32219.26;16092.07;1.0;1.0;6946.01;581.19
2.0;23059.15;28918.04;34299.7;11326.53;14037.89;5.0;1.0;11917.75;5570.700000000001
1.0;9016.37;4230.52;8250.44;13558.67;21588.28;1.0;0.0;8065.57;475.40000000000055
2.0;21941.45;24367.72;28631.27;22820.05;11750.16;5.0;0.0;12679.51;4630.97
2.0;22127.41;23144.46;6495.09;19487.91;14729.26;5.0;1.0;11638.22;5244.595
3.0;38159.51;30237.0;16297.96;0.0;94464.08;2.0;0.0;12342.33;12974.23
2.0;27586.19;18183.92;12790.95;20406.44;10907.39;2.0;1.0;10793.1;11310.34
2.0;26920.14;24656.17;255.42;21028.8;20821.99;1.0;1.0;9845.63;10229.65
2.0;26981.19;19895.9;27150.7;20453.84;35617.06;5.0;0.0;14443.42;6268.884999999999
2.0;26995.31;32041.47;27613.64;19772.29;12321.05;2.0;0.0;12018.78;12417.84
2.0;25901.88;32877.78;28756.27;16223.11;7779.42;2.0;1.0;10439.39;10619.77
2.0;26703.97;19364.53;44716.44;17849.15;12141.62;4.0;0.0;13545.27;6579.35
2.0;24559.85;14246.32;26992.43;19437.02;26497.52;0.0;0.0;9911.97;9823.94
2.0;26019.45;19148.43;18758.38;20358.38;49098.11;0.0;0.0;10203.89;10407.78
2.0;24054.5;22134.24;9420.02;14461.91;29392.91;2.0;0.0;11254.17;11065.07
2.0;29640.04;16210.48;16849.17;12175.62;21953.36;4.0;0.0;14484.81;7577.615000000001
2.0;20504.09;31651.94;30962.53;8847.71;23693.36;4.0;0.0;11561.31;4471.39
1.0;9445.32;7066.02;12087.33;7005.84;7399.07;3.0;0.0;8967.03;239.14499999999953
3.0;38462.74;60940.83;10376.12;0.0;95002.26;3.0;1.0;12000.16;12692.7
3.0;39336.18;51488.38;16159.22;0.0;75237.7;4.0;1.0;12900.43;13767.66
4.0;666626.37;587325.83;0.0;0.0;241593.47;5.0;0.0;59996.98;133325.27
2.0;22131.51;25600.54;25008.3;7150.4;29489.92;1.0;0.0;10090.25;9516.55
2.0;26162.55;25977.88;18370.53;12693.45;28863.96;4.0;0.0;13372.02;6395.264999999999
2.0;22004.54;29205.76;21538.72;13262.07;11503.53;5.0;1.0;11601.36;5201.59
2.0;29571.33;14344.18;20208.7;17410.06;45152.28;5.0;1.0;13871.4;14785.66
3.0;42034.93;26369.14;7455.31;0.0;68522.53;4.0;0.0;14566.29;15973.27
2.0;20946.84;18863.1;30358.31;12538.81;19146.06;4.0;1.0;10655.65;9845.01
2.0;21110.16;22579.16;15883.88;14400.66;19592.18;2.0;0.0;10488.64;9710.67
4.0;539365.87;631327.58;0.0;0.0;329412.2;4.0;1.0;31574.63;91692.2
2.0;21986.85;15452.48;21829.29;11143.86;19011.36;0.0;0.0;9397.37;8794.74
2.0;28333.71;18143.78;26233.32;16290.36;17360.06;1.0;1.0;10100.07;10766.81
2.0;20453.36;26922.48;25032.46;11940.68;11804.95;1.0;0.0;9704.27;8794.94
2.0;22323.52;23919.29;23381.52;15042.01;20445.9;5.0;1.0;11697.06;5313.2300000000005
2.0;23073.02;18419.03;27541.03;17652.47;24428.96;2.0;1.0;9845.33;9459.94
3.0;41227.19;45400.7;1477.45;0.0;84628.93;1.0;0.0;11947.26;13192.7
3.0;40478.46;39394.22;6928.94;0.0;100093.48;0.0;0.0;11047.85;12143.54
3.0;40902.21;35094.85;11859.17;0.0;92029.19;0.0;1.0;9863.15;11043.6
3.0;40852.73;53416.63;13067.11;0.0;66824.45;1.0;1.0;10676.75;11847.29
1.0;5267.16;5363.85;15897.54;23605.5;13574.92;5.0;1.0;2633.58;2633.58
2.0;27287.27;34608.7;32409.34;14203.93;15367.02;0.0;0.0;10457.45;10914.91
3.0;41067.88;45417.77;10573.5;0.0;126497.12;0.0;0.0;11106.79;12320.36
4.0;455973.96;731959.18;0.0;0.0;237053.47;5.0;0.0;44198.05;91194.79
2.0;25144.28;16884.53;30574.92;10762.79;30503.24;1.0;1.0;9525.97;9554.83
3.0;36536.2;71525.36;11982.67;0.0;71107.94;3.0;1.0;11749.71;12056.95
2.0;24694.51;26574.94;28902.82;10550.09;16206.59;3.0;0.0;12161.41;12100.31
2.0;23292.95;15919.86;24956.71;21403.82;17711.5;1.0;0.0;10357.38;10015.97
3.0;38518.02;61140.11;11491.91;0.0;117074.96;5.0;1.0;13548.06;14251.67
1.0;4181.33;4121.84;13074.77;36174.7;13133.75;1.0;0.0;2090.66;1797.97
3.0;42413.38;33678.29;9553.96;0.0;124051.32;3.0;1.0;12513.74;13996.42
2.0;28451.29;37022.57;20431.16;14876.15;30217.57;0.0;1.0;9267.69;9957.95
2.0;26724.26;40380.37;26071.41;23819.71;27294.17;5.0;1.0;13017.28;13362.13
2.0;27351.57;15548.89;24453.75;16443.46;38482.04;2.0;1.0;10743.83;11214.14
3.0;36515.82;19849.96;7196.23;0.0;80905.51;5.0;0.0;14303.16;14606.33
2.0;26956.23;27185.12;38245.52;18727.29;39161.74;3.0;1.0;11469.5;11860.74
3.0;42070.95;58032.63;15184.8;0.0;125302.85;4.0;1.0;13310.64;14724.83
2.0;25576.01;36506.72;55381.97;23023.88;18274.95;0.0;0.0;10115.2;10230.4
2.0;21037.67;29876.98;25471.7;10988.77;20758.7;4.0;0.0;11732.05;4652.8099999999995
2.0;27264.2;10620.59;28607.26;22790.59;23340.13;4.0;1.0;12361.33;12814.17
2.0;27455.57;31110.16;32974.14;11834.49;30170.1;0.0;1.0;9118.34;9609.45
2.0;28412.58;34438.11;10775.55;14205.99;13381.09;4.0;1.0;12671.4;13353.91
3.0;39978.8;52670.07;9296.07;0.0;103585.89;2.0;0.0;12597.03;13592.79
2.0;23568.14;27956.69;27888.2;14588.94;23498.23;3.0;1.0;10656.35;10369.98
1.0;5394.11;3449.32;17576.21;23982.54;8267.56;2.0;1.0;2697.06;2211.59
2.0;24810.59;22100.66;32746.29;16576.6;25289.79;5.0;1.0;12443.18;6183.705
3.0;42296.07;57936.71;10991.67;0.0;119035.34;1.0;1.0;10806.65;12265.86
2.0;26009.03;30428.27;22027.29;12914.29;20967.34;3.0;1.0;11242.17;11443.97
1.0;6743.97;5088.44;7076.33;18923.2;17254.17;3.0;0.0;3371.98;3304.55
2.0;27044.17;36556.51;21592.83;16617.43;12762.45;4.0;1.0;12301.93;12710.76
3.0;42448.93;60454.1;9791.78;0.0;36990.88;2.0;0.0;12942.85;14432.64
2.0;22739.87;30329.34;18181.12;17002.0;31712.99;1.0;1.0;9093.18;8641.15
2.0;25900.32;18058.57;11494.62;19556.65;22567.85;2.0;0.0;11734.08;11914.15
2.0;22791.24;31272.75;23974.04;32328.63;36904.32;4.0;1.0;11153.63;10711.88
3.0;39036.45;62187.74;12810.35;0.0;54426.18;2.0;0.0;12465.1;13272.39
3.0;42158.21;44954.54;17359.14;0.0;98531.63;5.0;0.0;15431.64;16863.28
2.0;22058.28;8167.04;34462.85;18307.58;26876.4;5.0;0.0;12720.4;4668.94
2.0;24074.5;15174.24;27398.59;14668.45;36238.94;2.0;0.0;11259.37;11074.27
2.0;29432.77;32910.44;29805.29;12858.5;23050.6;2.0;1.0;11180.88;12067.44
3.0;37649.23;84821.3;9131.5;0.0;64379.15;4.0;1.0;12647.38;13177.23
2.0;23839.88;20910.63;11679.25;12109.78;22975.94;5.0;0.0;13343.96;5247.960000000001
2.0;24108.84;19996.75;22862.4;14709.88;37007.04;2.0;0.0;11268.3;11090.07
2.0;19471.71;33606.75;13081.04;11078.65;16330.91;0.0;0.0;8894.34;7788.68
2.0;26696.53;22522.62;1783.33;14730.37;31972.04;2.0;0.0;11941.1;12280.4
2.0;23430.44;6883.19;15060.9;28327.06;24421.34;3.0;0.0;11794.83;11480.92
2.0;27734.36;19261.52;30219.96;14620.5;32802.82;5.0;0.0;14707.03;6513.665
2.0;26298.51;25718.03;30355.0;10612.58;34686.34;1.0;1.0;9733.73;9993.43
2.0;25589.22;22790.07;27443.08;15594.42;34245.33;2.0;1.0;10373.74;10491.58
2.0;26057.97;16993.79;23978.93;14114.97;24716.55;4.0;0.0;13338.55;6359.710000000001
4.0;509719.43;599662.25;0.0;0.0;208211.51;1.0;0.0;38034.57;81555.11
2.0;25981.38;23896.46;36686.48;12353.0;26626.89;2.0;0.0;11755.16;11951.43
2.0;22885.89;7862.49;11296.14;8845.36;19081.31;0.0;0.0;9577.18;9154.36
3.0;39245.24;50922.64;11485.92;0.0;77688.6;0.0;1.0;9747.17;10596.21
2.0;26235.18;23969.29;20937.26;19015.47;26585.13;3.0;0.0;12608.2;12855.24
2.0;24999.67;29247.83;25276.47;12181.87;22820.4;2.0;1.0;10249.93;10249.86
2.0;28129.62;17305.73;14826.09;23795.09;31810.27;0.0;0.0;10625.92;11251.85
3.0;42131.72;55631.93;11533.76;0.0;70335.54;0.0;1.0;9949.22;11375.56
2.0;31838.17;28574.15;16094.76;7146.63;7292.33;5.0;1.0;14551.45;15919.08
2.0;27433.71;20246.88;24180.93;18851.46;15439.79;3.0;0.0;12955.78;13442.52
2.0;25143.61;25903.28;20351.8;28005.35;45898.96;4.0;0.0;13045.96;6048.825000000001
2.0;25702.97;26382.13;23362.87;17464.92;32433.19;4.0;1.0;11939.8;12080.4
4.0;737878.7;247717.48;0.0;0.0;248780.71;1.0;0.0;50583.33;118060.59
2.0;24066.63;36499.47;33724.47;19195.18;23364.7;3.0;0.0;11979.32;11792.65
2.0;28723.25;24147.02;12771.27;16265.75;29777.22;4.0;0.0;14191.44;7265.905
3.0;38608.59;35189.51;8660.77;0.0;57261.9;4.0;0.0;13949.55;14671.26
2.0;21370.7;25839.7;19147.48;14393.06;21537.12;1.0;0.0;9915.26;9189.4
3.0;39091.01;43987.39;10830.36;0.0;83043.24;2.0;1.0;11300.01;12118.21
3.0;40708.79;37064.29;9333.94;0.0;66705.85;4.0;0.0;14327.58;15469.34
3.0;42481.06;43395.79;13557.7;0.0;93763.1;2.0;0.0;12947.35;14443.56
2.0;24136.52;14960.5;33426.22;15439.91;19650.47;3.0;0.0;11999.59;11826.89
2.0;26026.54;27979.72;25734.05;20853.01;15873.98;4.0;0.0;13328.49;6349.025000000001
2.0;27739.11;26803.15;24554.45;16133.37;28271.48;4.0;0.0;13876.52;6931.295
2.0;26979.46;18126.13;29866.66;13643.9;17207.31;1.0;1.0;9856.3;10252.19
2.0;24835.78;13283.52;48520.37;21493.85;31683.66;3.0;1.0;10960.59;10927.74
2.0;21403.75;19995.77;26164.08;18338.48;14864.65;0.0;1.0;8210.56;7491.31
2.0;22867.25;30312.53;18848.83;14561.22;24283.46;3.0;1.0;10488.14;10061.59
1.0;9789.73;6110.06;11641.35;23667.13;4836.24;3.0;1.0;8132.71;828.5099999999998
3.0;36674.36;60866.7;4005.94;0.0;93686.89;5.0;1.0;13234.64;13569.51
2.0;26652.85;13325.82;15528.34;11944.78;38262.67;2.0;0.0;11929.74;12260.31
2.0;27476.78;30962.78;26048.39;11491.34;29621.04;4.0;1.0;12418.73;12914.09
3.0;37699.22;51887.23;8168.85;0.0;117789.56;1.0;0.0;11523.91;12063.75
2.0;19829.15;17582.23;11174.85;14476.3;18993.41;4.0;1.0;10353.87;9319.7
2.0;19900.58;11771.19;15761.6;24782.26;25369.55;1.0;1.0;8582.1;7562.22
2.0;22753.46;25559.43;32894.88;8948.09;12998.23;0.0;1.0;8413.02;7963.71
2.0;24206.36;2834.44;37510.09;17354.73;34920.56;4.0;0.0;12746.04;5730.16
3.0;41159.52;76808.61;7524.39;0.0;46897.03;3.0;1.0;12350.74;13582.64
2.0;25629.67;32470.1;32209.49;18410.43;19329.54;3.0;1.0;11151.12;11277.05
2.0;23434.76;21606.0;20469.15;14611.85;17956.88;3.0;0.0;11796.08;11483.03
3.0;39853.63;23474.63;13235.25;0.0;97334.74;5.0;1.0;13775.12;14745.84
1.0;6912.56;6102.78;16588.6;28612.0;14784.74;3.0;1.0;3456.28;3041.53
2.0;26361.42;41402.24;17004.66;20332.95;26586.66;2.0;0.0;11853.97;12126.25
3.0;43088.69;38005.18;13619.43;0.0;110733.35;2.0;0.0;13032.42;14650.15
2.0;24636.71;25063.35;26223.68;17319.97;29614.29;5.0;0.0;13622.85;5506.929999999999
2.0;22135.97;21954.96;15093.58;11145.32;27168.06;4.0;0.0;12083.51;5026.2300000000005
2.0;28419.18;42489.62;20893.83;11407.53;23389.14;0.0;0.0;10683.84;11367.67
3.0;38330.6;49980.51;10918.77;0.0;113296.01;4.0;1.0;12749.59;13415.71
3.0;41599.49;42721.62;9297.62;0.0;84994.16;2.0;0.0;12823.93;14143.83
2.0;21060.93;26876.23;30669.94;8022.58;28077.38;4.0;1.0;10686.45;9898.64
2.0;24524.94;19664.21;25182.9;17934.14;19217.58;1.0;1.0;9414.49;9319.48
1.0;6950.58;3531.44;16309.17;33449.86;16480.12;3.0;1.0;3475.29;3058.26
3.0;41832.37;58385.0;12894.91;0.0;52438.48;5.0;0.0;15366.47;16732.95
2.0;26395.09;24272.9;20563.51;22456.11;9821.28;4.0;1.0;12126.67;12405.69
3.0;42648.98;66346.76;6477.37;0.0;63519.55;3.0;1.0;12544.37;14074.16
3.0;40482.74;36436.54;11628.1;0.0;95227.15;3.0;0.0;13477.24;14573.79
2.0;30186.01;44137.37;12314.5;21672.29;18525.9;4.0;1.0;13150.22;14187.42
2.0;28534.87;17647.5;16903.03;21941.52;30682.26;5.0;1.0;13560.46;14267.44
2.0;24734.15;32895.05;18721.1;14336.03;32399.71;1.0;1.0;9452.15;9398.98
2.0;29454.47;35707.59;31224.77;21796.48;26201.99;5.0;1.0;13836.34;14727.24
1.0;6873.86;5619.4;18597.3;22995.13;24009.75;4.0;0.0;3436.93;1718.465
3.0;38789.73;39135.78;13884.25;0.0;82772.06;1.0;0.0;11654.77;12412.71
3.0;39493.21;52360.28;9493.3;0.0;126608.66;3.0;1.0;12134.12;13032.76
2.0;26134.68;15726.0;24917.76;19480.17;27196.86;5.0;0.0;14147.14;5993.77
2.0;29443.31;35565.93;19162.19;7528.87;21602.8;3.0;0.0;13538.56;14427.22
2.0;25915.86;25940.98;22322.71;11462.52;21727.17;1.0;1.0;9664.85;9848.03
2.0;22292.99;39176.27;32710.12;9841.7;18085.15;3.0;1.0;10350.32;9808.92
3.0;38356.02;43975.82;7726.49;0.0;78654.02;3.0;1.0;11986.28;12657.49
2.0;27241.65;4506.95;33042.99;10266.18;25279.25;5.0;1.0;13172.5;13620.82
2.0;27824.34;19753.05;17400.1;19369.18;16664.53;1.0;1.0;10008.38;10573.25
3.0;39965.87;42485.3;10170.38;0.0;113592.76;5.0;1.0;13794.2;14787.37
3.0;39564.58;84902.26;17153.43;0.0;78814.99;3.0;0.0;13330.33;14243.25
1.0;10123.93;5831.0;1568.1;25716.6;4664.26;3.0;0.0;9252.05;435.9400000000005
2.0;25407.56;8690.69;24384.49;15451.71;28460.55;3.0;1.0;11097.81;11179.33
2.0;19558.6;32886.24;25469.32;9288.75;29081.55;2.0;0.0;10085.24;8996.96
2.0;24416.53;31403.73;20960.6;9505.49;14914.07;2.0;1.0;10127.47;10010.78
2.0;28399.0;14181.06;22112.17;23074.69;14850.38;3.0;1.0;11815.76;12495.56
2.0;24920.6;24270.65;35690.98;16915.16;19624.33;0.0;1.0;8738.09;8722.21
2.0;21379.23;6291.09;15728.39;11816.44;41998.06;4.0;1.0;10772.39;10048.24
3.0;39168.39;62851.41;14183.33;0.0;76943.61;5.0;0.0;14833.68;15667.36
2.0;23742.93;29171.72;18145.48;28740.16;32145.1;5.0;0.0;13310.03;5216.45
2.0;13450.16;14725.17;22520.0;25685.65;26360.83;4.0;0.0;9304.05;2073.0550000000003
